Artikel,Lieferant,Lagerbestand,Verpackungseinheit,Einkaufspreis,Verkaufspreis
Duck - Whole,Buckridge-Grimes,467,S,77.89,93.468
Teriyaki Sauce,"Schultz, Johns and Kilback",417,XS,22.63,27.156
Bandage - Finger Cots,Gottlieb-Nader,4836,3XL,57.29,68.748
Soup - Campbells Chicken,"Flatley, Bechtelar and O'Keefe",2474,M,99.72,119.664
Tart - Pecan Butter Squares,Purdy-Pollich,1330,3XL,93.94,112.728
Wine - Chablis J Moreau Et Fils,"Wuckert, Nolan and Rogahn",3828,S,1.26,1.512
Propel Sport Drink,"Nader, Bins and Eichmann",1155,2XL,86.87,104.244
Beef - Flank Steak,"Cummings, Smitham and Christiansen",3019,XS,23.35,28.02
"Tart Shells - Savory, 4","Abshire, Marquardt and Klein",4851,2XL,49.88,59.856
Monkfish Fresh - Skin Off,Bode LLC,1198,S,30.65,36.78
Wine - Segura Viudas Aria Brut,Dickens LLC,2715,XS,44.5,53.4
Bread - Corn Muffaletta,Harris LLC,4815,M,44.57,53.484
"Pasta - Fettuccine, Egg, Fresh","Hickle, Schultz and Nienow",3365,XS,90.48,108.576
Squid - U - 10 Thailand,Schaefer-Heidenreich,584,L,24.84,29.808
Myers Planters Punch,Kilback-Pouros,712,2XL,67.63,81.156
"Potatoes - Instant, Mashed","Wilderman, Stanton and O'Reilly",4689,L,85.72,102.864
Catfish - Fillets,"Schroeder, Osinski and Stehr",2775,XS,99.57,119.484
Cookie - Oreo 100x2,"Kertzmann, MacGyver and Bashirian",2006,S,76.6,91.92
Hersey Shakes,Grady LLC,1640,S,20.91,25.092
"Jam - Strawberry, 20 Ml Jar","Tillman, Raynor and Kihn",1544,L,78.08,93.696
Ice Cream Bar - Hagen Daz,Brown-Baumbach,4650,3XL,43.51,52.212
Wine - Vineland Estate Semi - Dry,Bailey Inc,4037,M,30.65,36.78
Beer - Moosehead,"Murphy, Quigley and Waelchi",2889,L,98.31,117.972
Wine - Malbec Trapiche Reserve,"Runolfsdottir, Gottlieb and Hegmann",1266,S,68.27,81.924
"Doilies - 12, Paper","Mohr, Weimann and Harris",4599,2XL,70.4,84.48
Bacardi Limon,"Conroy, MacGyver and Hansen",753,XS,30.28,36.336
"Veal - Round, Eye Of","Brekke, Langosh and West",4546,3XL,43.54,52.248
Flour - All Purpose,"Quitzon, Nikolaus and Pfannerstill",3731,XL,19.03,22.836
"Soup - Campbells, Chix Gumbo",Kemmer-Konopelski,2330,M,52.88,63.456
"Wine - White, Pelee Island",Abshire LLC,4740,L,57.48,68.976
Longos - Penne With Pesto,Feil LLC,1401,S,16.84,20.208
Butter - Salted,Kertzmann-Corwin,4825,XS,65.8,78.96
"Pepper - Julienne, Frozen","Lehner, Ryan and Parker",908,M,69.33,83.196
Skirt - 24 Foot,Sawayn and Sons,409,L,30.83,36.996
"Juice - Orange, Concentrate",Rutherford-Huels,1168,S,39.79,47.748
Bagels Poppyseed,Stracke LLC,3705,L,64.02,76.824
Beer - Guiness,"Cormier, Beatty and Quigley",4457,S,84.64,101.568
Bouq All Italian - Primerba,Ebert-Wolff,2057,S,60.37,72.444
Quail Eggs - Canned,Bernier-Hahn,26,L,66.88,80.256
Salt - Kosher,"Champlin, Rath and Champlin",3048,2XL,34.71,41.652
Muskox - French Rack,Murazik-Rath,2095,XS,26.31,31.572
"Bread - Roll, Whole Wheat",Lemke-Durgan,4482,2XL,17.58,21.096
Bread - Rye,"Jacobs, Connelly and Becker",4291,3XL,32.19,38.628
Sprouts - Baby Pea Tendrils,Reichert Group,606,S,70.53,84.636
Potatoes - Yukon Gold 5 Oz,"Hyatt, McGlynn and Keebler",718,S,10.33,12.396
Chick Peas - Dried,"Pollich, Toy and Paucek",3013,2XL,39.16,46.992
Olives - Kalamata,Vandervort-Bernier,4558,XL,25.92,31.104
"Lamb - Leg, Boneless",Wuckert and Sons,3863,3XL,23.1,27.72
Pork - Side Ribs,Hills-Wiegand,3013,XL,31.22,37.464
Mangoes,"Goodwin, Howell and Ernser",1015,XS,89.57,107.484
"Cherries - Bing, Canned",Wunsch and Sons,1798,3XL,14.25,17.1
"Brownies - Two Bite, Chocolate","Prosacco, Zulauf and Gislason",2987,XS,70.82,84.984
Dikon,Bernhard-Dach,1590,L,98.46,118.152
Bread Fig And Almond,Lang and Sons,2180,XL,17.69,21.228
Bay Leaf Fresh,Conroy-Halvorson,4187,L,13.89,16.668
"Lamb - Leg, Boneless",Murphy LLC,3286,XS,6.35,7.62
Flax Seed,Feest-Runolfsdottir,62,2XL,32.92,39.504
Kolrabi,Berge-Franecki,1576,S,79.84,95.808
Beef - Texas Style Burger,"O'Kon, Kreiger and Emard",1454,2XL,73.61,88.332
Icecream Cone - Areo Chocolate,"Schuppe, Hills and Stehr",1751,XL,27.94,33.528
Lettuce - Boston Bib,Spinka-Stracke,1787,3XL,12.67,15.204
Chicken Thigh - Bone Out,"Gislason, Bailey and Lemke",794,L,20.57,24.684
Steam Pan Full Lid,Olson LLC,368,S,58.48,70.176
Daikon Radish,"Hand, McClure and Murphy",735,XL,37.97,45.564
